Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.67     0.00        1     0.00     0.00  rrtm_cmbgb13_
  0.00      1.67     0.00        1     0.00     0.00  rrtm_cmbgb14_
  0.00      1.67     0.00        1     0.00     0.00  rrtm_cmbgb15_
  0.00      1.67     0.00        1     0.00     0.00  rrtm_cmbgb16_
  0.00      1.67     0.00        1     0.00     0.00  rrtm_cmbgb1_
  0.00      1.67     0.00        1     0.00     0.00  rrtm_cmbgb2_
  0.00      1.67     0.00        1     0.00     0.00  rrtm_cmbgb3_
  0.00      1.67     0.00        1     0.00     0.00  rrtm_cmbgb4_
  0.00      1.67     0.00        1     0.00     0.00  rrtm_cmbgb5_
  0.00      1.67     0.00        1     0.00     0.00  rrtm_cmbgb6_
  0.00      1.67     0.00        1     0.00     0.00  rrtm_cmbgb7_
  0.00      1.67     0.00        1     0.00     0.00  rrtm_cmbgb8_
  0.00      1.67     0.00        1     0.00     0.00  rrtm_cmbgb9_
  0.00      1.67     0.00        1     0.00     0.00  rrtm_init_140gp_
  0.00      1.67     0.00        1     0.00     0.00  rrtm_kgb10_
  0.00      1.67     0.00        1     0.00     0.00  rrtm_kgb11_
  0.00      1.67     0.00        1     0.00     0.00  rrtm_kgb12_
  0.00      1.67     0.00        1     0.00     0.00  rrtm_kgb13_
  0.00      1.67     0.00        1     0.00     0.00  rrtm_kgb14_
  0.00      1.67     0.00        1     0.00     0.00  rrtm_kgb15_
  0.00      1.67     0.00        1     0.00     0.00  rrtm_kgb16_
  0.00      1.67     0.00        1     0.00     0.00  rrtm_kgb1_
  0.00      1.67     0.00        1     0.00     0.00  rrtm_kgb2_
  0.00      1.67     0.00        1     0.00     0.00  rrtm_kgb3_
  0.00      1.67     0.00        1     0.00     0.00  rrtm_kgb4_
  0.00      1.67     0.00        1     0.00     0.00  rrtm_kgb5_
  0.00      1.67     0.00        1     0.00     0.00  rrtm_kgb6_
  0.00      1.67     0.00        1     0.00     0.00  rrtm_kgb7_
  0.00      1.67     0.00        1     0.00     0.00  rrtm_kgb8_
