Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.91     0.00       10     0.00     0.00  srtm_taumol26_
  0.00      1.91     0.00        9     0.00     0.00  srtm_taumol21_
  0.00      1.91     0.00        9     0.00     0.00  srtm_taumol27_
  0.00      1.91     0.00        8     0.00     0.00  __easy_netcdf_MOD_get_real_vector
  0.00      1.91     0.00        8     0.00     0.00  __radiation_config_MOD_print_enum
  0.00      1.91     0.00        7     0.00     0.00  __radiation_gas_MOD_put_gas
  0.00      1.91     0.00        6     0.00     0.00  __radiation_aerosol_optics_data_MOD_set_hydrophobic_type
  0.00      1.91     0.00        5     0.00     0.00  __easy_netcdf_MOD_close_netcdf_file
  0.00      1.91     0.00        5     0.00     0.00  __radiation_aerosol_optics_data_MOD_set_hydrophilic_type
  0.00      1.91     0.00        4     0.00     0.00  __easy_netcdf_MOD_open_netcdf_file
  0.00      1.91     0.00        4     0.00     0.00  __easy_netcdf_MOD_transpose_matrices
  0.00      1.91     0.00        3     0.00     0.00  __radiation_config_MOD_print_real
  0.00      1.91     0.00        3     0.00   635.01  __radiation_interface_MOD_radiation
  0.00      1.91     0.00        2     0.00     0.00  __easy_netcdf_MOD_define_dimension
  0.00      1.91     0.00        2     0.00     0.00  __easy_netcdf_MOD_get_global_attribute
  0.00      1.91     0.00        2     0.00     0.00  __easy_netcdf_MOD_put_real_vector
  0.00      1.91     0.00        2     0.00     0.00  __radiation_check_MOD_out_of_bounds_1d
  0.00      1.91     0.00        2     0.00     0.00  __radiation_spectral_definition_MOD_allocate_bands_only
  0.00      1.91     0.00        2     0.00     0.00  __radiation_spectral_definition_MOD_calc_mapping_from_bands
  0.00      1.91     0.00        2     0.00     0.00  __radiation_spectral_definition_MOD_deallocate
  0.00      1.91     0.00        1     0.00     0.00  MAIN__
  0.00      1.91     0.00        1     0.00     0.00  __easy_netcdf_MOD_create_netcdf_file
