Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.50     0.00   193082     0.00     0.00  __radiation_cloud_optics_MOD_delta_eddington_scat_od
  0.00      1.50     0.00    48602     0.00     0.00  __radiation_aerosol_optics_data_MOD_calc_rh_index
  0.00      1.50     0.00    11725     0.00     0.00  __radiation_overlap_MOD_calc_alpha_overlap_matrix
  0.00      1.50     0.00    10526     0.00     0.00  __radiation_liquid_optics_socrates_MOD_calc_liq_optics_socrates
  0.00      1.50     0.00     3978     0.00     0.00  __radiation_ice_optics_fu_MOD_calc_ice_optics_fu_sw
  0.00      1.50     0.00     3971     0.00     0.00  __radiation_ice_optics_fu_MOD_calc_ice_optics_fu_lw
  0.00      1.50     0.00      720     0.00     0.00  __radiation_overlap_MOD_calc_overlap_matrices_nocol
  0.00      1.50     0.00      358     0.00     0.00  __radiation_aerosol_optics_MOD_delta_eddington_extensive_vec
  0.00      1.50     0.00      150     0.00     0.00  __radiation_spectral_definition_MOD_calc_planck_function_wavenumber
  0.00      1.50     0.00       72     0.00     0.00  __easy_netcdf_MOD_get_array_dimensions
  0.00      1.50     0.00       64     0.00     0.00  __easy_netcdf_MOD_get_variable_id
  0.00      1.50     0.00       31     0.00     0.00  __easy_netcdf_MOD_get_real_matrix
  0.00      1.50     0.00       24     0.00     0.00  __radiation_regions_MOD_calc_region_properties
  0.00      1.50     0.00       23     0.00     0.00  __radiation_config_MOD_print_logical
  0.00      1.50     0.00       19     0.00     0.00  __radiation_check_MOD_out_of_bounds_2d
  0.00      1.50     0.00       14     0.00     0.00  __easy_netcdf_MOD_exists
  0.00      1.50     0.00       13     0.00     0.00  __easy_netcdf_MOD_define_variable
  0.00      1.50     0.00       13     0.00     0.00  __easy_netcdf_MOD_end_define_mode
  0.00      1.50     0.00       12     0.00     0.00  __easy_netcdf_MOD_get_rank
  0.00      1.50     0.00       12     0.00     0.00  __radiation_cloud_MOD_crop_cloud_fraction
  0.00      1.50     0.00       12     0.00     0.00  __radiation_flux_MOD_calc_surface_spectral
  0.00      1.50     0.00       12     0.00     0.00  __radiation_flux_MOD_calc_toa_spectral
  0.00      1.50     0.00       12     0.00     0.00  __radiation_gas_MOD_assert_units_gas
  0.00      1.50     0.00       12     0.00     0.00  __radiation_gas_MOD_get_gas
  0.00      1.50     0.00       12     0.00     0.00  __radiation_gas_MOD_scale_gas
  0.00      1.50     0.00       12     0.00     0.00  __radiation_ifs_rrtm_MOD_planck_function_surf
  0.00      1.50     0.00       12     0.00     0.00  __radiation_single_level_MOD_get_albedos
  0.00      1.50     0.00       12     0.00     0.00  rrtm_taumol11_
  0.00      1.50     0.00       12     0.00     0.00  rrtm_taumol13_
  0.00      1.50     0.00       12     0.00     0.00  rrtm_taumol14_
  0.00      1.50     0.00       12     0.00     0.00  rrtm_taumol16_
  0.00      1.50     0.00       12     0.00     0.00  rrtm_taumol2_
  0.00      1.50     0.00       12     0.00     0.00  rrtm_taumol4_
  0.00      1.50     0.00       12     0.00     0.00  rrtm_taumol6_
  0.00      1.50     0.00       11     0.00     0.00  __easy_netcdf_MOD_get_real_array3
  0.00      1.50     0.00       11     0.00     0.00  __easy_netcdf_MOD_put_real_matrix
  0.00      1.50     0.00       11     0.00     0.00  __radiation_aerosol_optics_data_MOD_get_line
  0.00      1.50     0.00       11     0.00     0.00  srtm_setcoef_
